ZIP,Number of returns,Population,P_Elderly,Income,Unemployment
75001,"10,020","14,300","1,510","895,613",260
75002,"32,120","68,200","6,380","3,362,938",730
75006,"24,160","44,100","4,990","1,369,657",480
75007,"26,980","50,360","6,100","1,988,573",660
75009,"9,000","22,040","1,470","1,119,782",200
75010,"16,690","31,150","2,620","1,523,239",430
75013,"21,600","47,950","3,890","3,074,791",490
75019,"21,190","44,840","4,390","3,134,490",490
75020,"10,750","20,440","2,920","596,563",200
75021,"4,030","7,720","1,180","227,050",70
75022,"11,700","26,540","2,410","2,334,137",240
75023,"23,400","43,800","5,950","1,828,620",610
75024,"21,960","43,760","3,540","3,166,296",510
75025,"24,850","52,520","5,200","2,792,974",640
75028,"22,210","46,710","4,780","2,635,196",540
75032,"15,920","33,890","3,880","2,121,939",300
75034,"24,020","46,410","3,970","4,031,399",570
75035,"34,580","81,940","4,330","4,219,308",900
75038,"15,730","28,810","1,590","1,218,964",370
75039,"13,010","21,640","1,010","1,480,715",300
75040,"30,220","58,800","5,280","1,361,117",630
75041,"13,730","28,090","2,260","548,309",200
75042,"17,500","35,100","2,770","654,546",250
75043,"29,940","57,980","6,010","1,504,681",690
75044,"22,790","41,700","5,360","1,521,800",510
75048,"12,570","26,830","2,350","1,068,127",300
75050,"19,760","37,790","2,730","896,123",470
75051,"17,550","35,930","2,160","649,306",370
75052,"46,630","90,510","7,420","2,494,449","1,310"
75054,"7,260","16,360",980,"686,795",210
75056,"34,410","64,090","5,090","3,284,075",960
75057,"7,530","13,520",870,"360,837",180
75058,"1,730","3,940",360,"172,544",30
75060,"21,720","43,700","3,600","951,321",360
75061,"23,970","47,110","3,530","994,670",410
75062,"23,020","43,690","3,740","1,230,691",410
75063,"20,430","43,830","2,450","2,255,762",470
75065,"6,460","12,290","1,360","470,527",160
75067,"33,590","61,230","4,620","1,767,885",810
75068,"29,790","64,450","3,730","2,329,822",800
75069,"17,970","34,370","4,480","1,670,365",350
75070,"27,890","56,810","4,120","2,497,011",750
75071,"28,920","63,790","4,970","2,950,907",730
75074,"23,930","46,940","4,160","1,529,852",510
75075,"18,060","32,820","5,210","1,495,598",390
75076,"4,020","7,500","1,490","303,745",70
75077,"18,410","36,950","4,670","2,070,747",420
75078,"15,600","40,120","2,330","2,575,488",380
75080,"21,420","40,420","5,120","2,000,074",410
75081,"18,550","34,300","4,270","1,203,396",420
75082,"13,450","24,960","2,990","1,437,555",290
75087,"18,350","39,620","4,540","1,872,460",390
75088,"13,450","25,630","3,170","1,013,955",360
75089,"16,580","33,550","2,970","1,200,684",410
75090,"10,240","20,660","2,090","468,213",180
75092,"12,330","23,360","3,220","807,541",190
75093,"23,980","46,160","6,530","4,516,464",520
75094,"10,260","24,620","1,920","1,252,975",220
75098,"29,730","65,450","4,860","2,247,943",660
75102,620,"1,340",150,"33,544",0
75103,"6,270","13,020","1,800","432,874",120
75104,"24,540","46,940","4,590","1,476,777",810
75105,140,310,40,"7,879",0
75109,"2,050","4,200",640,"147,814",40
75110,"12,420","25,600","2,390","556,544",270
75114,"2,960","6,400",510,"190,394",60
75115,"28,040","51,040","6,240","1,476,023",950
75116,"9,200","18,390","1,830","403,887",200
