Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,BROOKFIELD PROP 300 CLAY STAT1,300 Clay St,,Houston,TX,77002,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,29.756604,-95.372854,10/29/2022,36378,2022-10-29 00:58:05 UTC,,,,10/2/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,30.206145,-97.759109,6/9/2020,39114,2021-03-11 23:22:17 UTC,P,,,1/15/2011,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,McGavock Nissan - Abilene,818 E Overland Trail,,Abilene,TX,79606,,325-695-2970,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.408909,-99.771463,6/9/2020,39708,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,McGavock Nissan - Amarillo,4700 S Soncy Rd,,Amarillo,TX,79119,,806-354-3550,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,35.159354,-101.938937,6/9/2020,39709,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Don Davis Nissan,1320 E Interstate 20,,Arlington,TX,76018,,817-588-5475,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.676458,-97.087169,6/9/2020,39710,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Town North Nissan,9160A Research Blvd,,Austin,TX,78758,,512-451-7411,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,30.374542,-97.731445,3/7/2022,39711,2022-03-07 19:49:53 UTC,P,,,3/15/2011,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Baytown Nissan,5445 I-10 E,,Baytown,TX,77521,,281-421-7442,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,29.807253,-94.97383365,6/9/2020,39712,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Mike Smith Nissan,1515 Interstate 10 S,,Beaumont,TX,77701,,409-833-7100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.062535,-94.133511,6/9/2020,39713,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Grubbs Nissan,310 Airport Fwy,,Bedford,TX,76022,,817-268-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,32.839339,-97.160994,3/7/2022,39714,2022-03-07 19:49:53 UTC,P,,,3/15/2011,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Douglass Nissan,1001 Earl Rudder Fwy S,,College Station,TX,77845,,979-764-7726,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.639201,-96.30671,6/9/2020,39715,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Ed Hicks Nissan,3000 S Padre Island Dr,,Corpus Christi,TX,78415,,361-854-1955,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,27.73082,-97.416019,6/9/2020,39717,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,,Dallas,TX,75237,,972-709-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.646784,-96.863492,3/7/2022,39718,2022-03-07 19:49:53 UTC,P,,,12/30/2010,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Classic Nissan,2010 US Highway 75 N,,Denison,TX,75020,,903-463-9800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,33.775328,-96.58308,6/9/2020,39719,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Casa Nissan,5855 Montana Ave,,El Paso,TX,79925,,915-772-1488,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,31.783928,-106.417267,6/9/2020,39720,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
ELEC,Viva Nissan,1310 N Zaragoza Rd,,El Paso,TX,79936,,915-629-5500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,31.724024,-106.302211,6/9/2020,39721,2021-03-11 23:22:17 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE
