,County,vehicles_registered,V1,income_per_capita,Num_stations,Num_ports,population,employment,ResidentialElectricityconsumption..MWh.capita.,On.Road.TransportationGasolineconsumption..gallons.capita.,On.Road.TransportationDieselconsumption..gallons.capita.,On.Road.Transportationvehicle.miles.traveled..miles.capita.,On.road.TransportationGasolineGHG.emissions.mtons.CO2e,On.road.TransportationDieselGHG.emissions.mtons.CO2e,Num_EV
1,Travis,20823,227,"$74,032 ",436,1302,1148176,1165778,4,514,151,"9,755","6,367,642","2,198,246",154117
2,Harris,20352,101,"$60,183 ",359,1114,4434257,4090870,5,497,177,"9,627","23,781,933","9,907,967",155077
3,Dallas,15234,57,"$65,401 ",318,855,2513054,2912184,5,582,159,"10,827","15,777,162","5,063,805",124784
4,Collin,13177,43,"$71,246 ",123,284,886633,777684,5,524,127,"9,695","5,012,421","1,425,283",92220
5,Bexar,11524,15,"$48,569 ",191,375,1858699,1482102,4,459,148,"8,799","9,214,166","3,484,528",67976
6,Tarrant,10407,220,"$55,615 ",114,443,1947529,1542176,5,500,143,"9,391","10,502,038","3,531,471",79470
7,Denton,9387,61,"$63,283 ",43,114,754650,423766,5,437,127,"8,308","3,556,180","1,208,763",64132
8,Williamson,7338,246,"$56,693 ",30,147,490619,302286,4,460,154,"8,910","2,434,165","953,776",55495
9,Fort Bend,6907,79,"$61,791 ",21,64,683756,320096,5,364,137,"7,198","2,686,367","1,184,074",50178
10,Montgomery,3555,170,"$65,516 ",13,59,518849,310900,5,416,228,"8,860","2,329,637","1,498,675",24337
11,El Paso,2389,70,"$41,818 ",43,68,833592,470206,2,405,131,"7,758","3,644,779","1,380,643",15089
12,Hays,1841,105,"$50,212 ",10,105,185686,106862,5,528,213,"10,506","1,058,046","499,646",12409
13,Brazoria,1526,20,"$51,812 ",8,46,338419,174898,5,451,173,"8,792","1,647,881","742,362",12032
14,Hidalgo,1384,108,"$31,153 ",5,31,828334,389652,4,336,115,"6,375","3,004,975","1,203,815",8578
15,Galveston,1266,84,"$57,941 ",20,80,314485,171538,5,426,136,"8,038","1,445,303","542,118",9152
16,Comal,1173,46,"$62,994 ",0,38,124234,93287,6,695,315,"14,086","932,182","494,727",8528
17,Bell,1033,14,"$46,594 ",7,21,330859,184226,5,488,184,"9,546","1,741,399","770,606",5814
18,Rockwall,817,199,"$64,943 ",6,21,88010,51292,6,537,191,"10,437","510,566","212,224",5459
19,Cameron,779,31,"$33,690 ",4,41,418785,217160,4,359,120,"6,773","1,623,122","635,634",5060
20,Ellis,663,71,"$49,333 ",0,17,160225,84126,5,694,327,"14,285","1,201,150","664,016",3980
21,Nueces,661,178,"$47,999 ",7,58,355667,292686,5,484,156,"9,128","1,858,818","702,805",4585
22,Brazos,601,21,"$43,430 ",36,39,209896,132146,5,434,139,"8,246","982,945","368,051",4065
23,Guadalupe,590,94,"$49,405 ",0,8,147313,64252,5,502,267,"10,572","798,960","497,579",3840
24,Parker,590,184,"$59,929 ",12,7,123601,57040,6,535,306,"11,569","713,697","478,171",2974
25,McLennan,584,161,"$45,772 ",15,44,243394,209464,5,596,259,"11,814","1,567,027","798,974",4042
26,Lubbock,571,152,"$46,502 ",4,26,294682,227230,5,414,141,"7,725","1,317,527","527,293",3312
27,Smith,518,212,"$57,076 ",4,25,219745,182888,5,552,283,"11,329","1,309,720","786,594",3253
