"","x"
"1",5
"2",186
"3",140
"4",231
"5",36
"6",253
"7",232
"8",107
"9",223
"10",136
"11",20
"12",74
"13",183
"14",168
"15",48
"16",104
"17",245
"18",37
"19",194
"20",157
"21",108
"22",254
"23",248
"24",165
"25",137
"26",230
"27",120
"28",118
"29",18
"30",144
"31",153
"32",12
"33",40
"34",22
"35",188
"36",179
"37",70
"38",222
"39",15
"40",243
"41",75
"42",29
"43",87
"44",131
"45",62
"46",127
"47",101
"48",182
"49",238
"50",138
"51",68
"52",33
"53",19
"54",166
"55",116
"56",185
"57",154
"58",192
"59",135
"60",249
"61",65
"62",9
"63",105
"64",178
"65",128
"66",61
"67",95
"68",171
"69",250
"70",78
"71",73
"72",132
"73",50
"74",145
"75",176
"76",164
"77",201
"78",2
"79",117
"80",130
"81",88
"82",71
"83",10
"84",102
"85",46
"86",202
"87",47
"88",161
"89",205
"90",66
"91",241
"92",139
"93",210
"94",4
"95",57
"96",16
"97",180
"98",6
"99",159
"100",99
"101",174
"102",252
"103",242
"104",123
"105",213
"106",240
"107",172
"108",56
"109",196
"110",64
"111",28
"112",91
"113",114
"114",193
"115",163
"116",69
"117",216
"118",7
"119",109
"120",228
"121",141
"122",98
"123",207
"124",55
"125",45
"126",93
"127",3
"128",246
"129",129
"130",234
"131",124
"132",236
"133",38
"134",122
"135",112
"136",189
"137",44
"138",198
"139",203
"140",89
"141",90
"142",53
"143",211
"144",13
"145",175
"146",177
"147",14
"148",85
"149",51
"150",162
"151",227
"152",35
"153",58
"154",169
"155",77
"156",42
"157",8
"158",206
"159",208
"160",184
"161",204
"162",215
"163",60
"164",49
"165",23
"166",195
"167",103
"168",167
"169",97
"170",217
"171",115
"172",100
"173",25
"174",218
"175",80
"176",67
"177",34
